Cycle,Duty cycle,Current density
0.365,0.12,-5.81225
0.36875,0.12,-6.13479
0.37125,0.12,-6.45501
0.375,0.12,-6.77281
0.3775,0.12,-7.08806
0.38125,0.12,-7.40064
0.38375,0.12,-7.71044
0.3875,0.12,-8.01733
0.39,0.12,-8.32121
0.39375,0.12,-8.62194
0.39625,0.12,-8.91941
0.4,0.12,-9.21351
0.4025,0.12,-9.50413
0.40625,0.12,-9.79114
0.40875,0.12,-10.07443
0.4125,0.12,-10.35389
0.415,0.12,-10.62941
0.41875,0.12,-10.90089
0.42125,0.12,-11.1682
0.425,0.12,-11.43125
0.4275,0.12,-11.68994
0.43125,0.12,-11.94415
0.43375,0.12,-12.19379
0.4375,0.12,-12.43877
0.44,0.12,-12.67898
0.44375,0.12,-12.91433
0.44625,0.12,-13.14473
0.45,0.12,-13.3701
0.4525,0.12,-13.59034
0.45625,0.12,-13.80537
0.45875,0.12,-14.0151
0.4625,0.12,-14.21947
0.465,0.12,-14.41839
0.46875,0.12,-14.61178
0.47125,0.12,-14.79958
0.475,0.12,-14.98171
0.4775,0.12,-15.1581
0.48125,0.12,-15.32869
0.48375,0.12,-15.49342
0.4875,0.12,-15.65221
0.49,0.12,-15.805
0.49375,0.12,-15.95175
0.49625,0.12,-16.0924
0.5,0.12,-16.22689
0.5025,0.12,-16.35517
0.50625,0.12,-16.47718
0.50875,0.12,-16.59288
0.5125,0.12,-16.70223
0.515,0.12,-16.80516
0.51875,0.12,-16.90166
0.52125,0.12,-16.99167
0.525,0.12,-17.07515
0.5275,0.12,-17.15208
0.53125,0.12,-17.22241
0.53375,0.12,-17.28611
0.5375,0.12,-17.34316
0.54,0.12,-17.39353
0.54375,0.12,-17.4372
0.54625,0.12,-17.47413
0.55,0.12,-17.50433
0.5525,0.12,-17.52775
0.55625,0.12,-17.54441
0.55875,0.12,-17.55427
0.5625,0.12,-17.55734
0.565,0.12,-17.55361
0.56875,0.12,-17.54307
0.57125,0.12,-17.52573
0.575,0.12,-17.5016
0.5775,0.12,-17.47067
0.58125,0.12,-17.43295
0.58375,0.12,-17.38847
0.5875,0.12,-17.33723
0.59,0.12,-17.27926
0.59375,0.12,-17.21457
0.59625,0.12,-17.14319
0.6,0.12,-17.06515
0.6025,0.12,-16.98047
0.60625,0.12,-16.88919
0.60875,0.12,-16.79135
0.6125,0.12,-16.68699
0.615,0.12,-16.57614
0.61875,0.12,-16.45884
0.62125,0.12,-16.33516
0.625,0.12,-16.20513
0.6275,0.12,-16.06881
0.63125,0.12,-15.92625
0.63375,0.12,-15.77751
0.6375,0.12,-15.62265
0.64,0.12,-15.46173
0.64375,0.12,-15.29481
0.64625,0.12,-15.12196
0.65,0.12,-14.94325
0.6525,0.12,-14.75874
0.65625,0.12,-14.56852
0.65875,0.12,-14.37266
0.6625,0.12,-14.17124
0.665,0.12,-13.96433
0.66875,0.12,-13.75201
0.67125,0.12,-13.53438
0.675,0.12,-13.31151
0.6775,0.12,-13.0835
0.68125,0.12,-12.85044
0.68375,0.12,-12.6124
0.6875,0.12,-12.3695
0.69,0.12,-12.12183
0.69375,0.12,-11.86947
0.69625,0.12,-11.61254
0.7,0.12,-11.35113
0.7025,0.12,-11.08534
0.70625,0.12,-10.81529
0.70875,0.12,-10.54107
0.7125,0.12,-10.26279
0.715,0.12,-9.98057
0.71875,0.12,-9.69451
0.72125,0.12,-9.40473
0.725,0.12,-9.11134
0.7275,0.12,-8.81445
0.73125,0.12,-8.51419
0.73375,0.12,-8.21067
0.7375,0.12,-7.90401
0.74,0.12,-7.59434
0.74375,0.12,-7.28177
0.74625,0.12,-6.96642
0.75,0.12,-6.64843
0.7525,0.12,-6.32792
0.75625,0.12,-6.00501
0.75875,0.12,-5.67983
0.7625,0.12,-5.3525
0.765,0.12,-5.02317
0.76875,0.12,-4.69195
0.77125,0.12,-4.35897
0.775,0.12,-4.02438
0.7775,0.12,-3.68829
0.78125,0.12,-3.35084
0.78375,0.12,-3.01216
0.7875,0.12,-2.67238
0.79,0.12,-2.33163
0.79375,0.12,-1.99005
0.79625,0.12,-1.64777
0.8,0.12,-1.30491
0.8025,0.12,-0.96162
0.80625,0.12,-0.61801
0.80875,0.12,-0.27423
0.8125,0.12,0.0696
0.815,0.12,0.41335
0.81875,0.12,0.75688
0.82125,0.12,1.10008
0.825,0.12,1.44282
0.8275,0.12,1.78495
0.83125,0.12,2.12637
0.83375,0.12,2.46694
0.8375,0.12,2.80655
0.84,0.12,3.14505
0.84375,0.12,3.48234
0.84625,0.12,3.8183
0.85,0.12,4.15279
0.8525,0.12,4.48569
0.85625,0.12,4.8169
0.85875,0.12,5.14628
0.8625,0.12,5.47371
0.865,0.12,5.79908
0.86875,0.12,6.12226
0.87125,0.12,6.44315
0.875,0.12,6.7616
0.8775,0.12,7.07751
0.88125,0.12,7.39076
0.88375,0.12,7.70123
0.8875,0.12,8.0088
0.89,0.12,8.31334
0.89375,0.12,8.61475
0.89625,0.12,8.91289
0.9,0.12,9.20767
0.9025,0.12,9.49895
0.90625,0.12,9.78662
0.90875,0.12,10.07057
0.9125,0.12,10.35069
0.915,0.12,10.62687
0.91875,0.12,10.89898
0.92125,0.12,11.16693
0.925,0.12,11.43061
0.9275,0.12,11.68992
0.93125,0.12,11.94474
0.93375,0.12,12.19499
0.9375,0.12,12.44056
0.94,0.12,12.68135
0.94375,0.12,12.91728
0.94625,0.12,13.14825
0.95,0.12,13.37418
0.9525,0.12,13.59496
0.95625,0.12,13.81053
0.95875,0.12,14.0208
0.9625,0.12,14.22568
0.965,0.12,14.42511
0.96875,0.12,14.619
0.97125,0.12,14.80729
0.975,0.12,14.9899
0.9775,0.12,15.16677
0.98125,0.12,15.33783
0.98375,0.12,15.503
0.9875,0.12,15.66224
0.99,0.12,15.81548
0.99375,0.12,15.96266
0.99625,0.12,16.10372
1,0.12,16.23862
1.0025,0.12,16.36731
1.00625,0.12,16.48972
1.00875,0.12,16.60581
1.0125,0.12,16.71553
1.015,0.12,16.81884
1.01875,0.12,16.9157
1.02125,0.12,17.00606
1.025,0.12,17.0899
1.0275,0.12,17.16716
1.03125,0.12,17.23782
1.03375,0.12,17.30185
1.0375,0.12,17.35921
1.04,0.12,17.40988
1.04375,0.12,17.45384
1.04625,0.12,17.49107
1.05,0.12,17.52153
1.0525,0.12,17.54523
1.05625,0.12,17.56214
